type	weight	section_a	section_b	shared_pointers
vocab	0.351	zshmisc:SPECIAL FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS	history trap function functions executed status
vocab	0.347	zshexpn:HISTORY EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	history path expansion character filename event
vocab	0.347	zshexpn:FILENAME GENERATION	zshoptions:DESCRIPTION OF OPTIONS	pattern match files character matches file
vocab	0.344	zshmisc:CONDITIONAL EXPRESSIONS	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	true string equal if length false
vocab	0.344	zshexpn:PARAMETER EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	array foo pattern this name character
vocab	0.327	zshmisc:COMPLEX COMMANDS	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	list term word repeat expr2 expr1
vocab	0.32	zshexpn:HISTORY EXPANSION	zshexpn:PARAMETER EXPANSION	str foo word substituted substitution words
vocab	0.29	zshmisc:SPECIAL FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	functions function history status signal executed
vocab	0.287	zshparam:PARAMETERS SET BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS	you history script this file user
vocab	0.284	zshmisc:MULTIOS	zshexpn:PROCESS SUBSTITUTION	file file2 multios file1 pipe process
vocab	0.278	zshmisc:COMPLEX COMMANDS	zshoptions:DESCRIPTION OF OPTIONS	list try always exit function executed
vocab	0.272	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	sublist list commands yes newline word
vocab	0.271	zshparam:PARAMETERS SET BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS	module value array name function file
vocab	0.269	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshmisc:MULTIOS	descriptor file myfd opened redirection opens
vocab	0.268	zshexpn:HISTORY EXPANSION	zshexpn:FILENAME GENERATION	character qualifiers match glob foo qualifier
vocab	0.268	zshexpn:FILENAME GENERATION	zshbuiltins:SHELL BUILTIN COMMANDS	flag pattern flags character files given
vocab	0.259	zshexpn:PARAMETER EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	array value character ifs pattern flags
vocab	0.259	zshexpn:FILENAME GENERATION	zshparam:PARAMETERS USED BY THE SHELL	character files pattern matches characters array
vocab	0.254	zshexpn:PARAMETER EXPANSION	zshparam:DESCRIPTION	array scalar name value parameter parameters
vocab	0.251	zshmisc:JOBS	zshoptions:DESCRIPTION OF OPTIONS	job jobs you running when suspended
vocab	0.25	zshmisc:REDIRECTION	zshmisc:MULTIOS	file descriptor output redirection multios standard
vocab	0.249	zshparam:ARRAY PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS	subscript array pattern key this match
vocab	0.245	zshmisc:AUTOLOADING FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	autoload function functions file definition fpath
vocab	0.243	zshmisc:COMPLEX COMMANDS	zshmisc:SPECIAL FUNCTIONS	executed list status function traps trap
vocab	0.243	zshmisc:FUNCTIONS	zshmisc:SPECIAL FUNCTIONS	functions function executed trap return defined
vocab	0.24	zshparam:ARRAY PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS	flag array name flags value associative
vocab	0.238	zshmisc:COMPLEX COMMANDS	zshbuiltins:SHELL BUILTIN COMMANDS	list executed status function name exit
vocab	0.237	zshexpn:FILENAME GENERATION	zshparam:ARRAY PARAMETERS	match pattern array foo matching flag
vocab	0.235	zshexpn:FILENAME EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	directory stack path completion function return
vocab	0.234	zshparam:DESCRIPTION	zshbuiltins:SHELL BUILTIN COMMANDS	name value attribute scalar array parameters
vocab	0.23	zshexpn:FILENAME EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS	directory name stack status function names
vocab	0.228	zshmisc:SIMPLE PROMPT ESCAPES	zshoptions:DESCRIPTION OF OPTIONS	format file directory path line character
vocab	0.224	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:COMPLEX COMMANDS	list executed pipeline status terminated returns
vocab	0.223	zshparam:PARAMETERS SET BY THE SHELL	zshparam:PARAMETERS USED BY THE SHELL	value you array stty seconds history
vocab	0.222	zshexpn:HISTORY EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS	history path name character event directory
vocab	0.22	zshmisc:ALIASING	zshoptions:DESCRIPTION OF OPTIONS	alias aliases completion foo word expansion
vocab	0.218	zshmisc:SPECIAL FUNCTIONS	zshparam:PARAMETERS SET BY THE SHELL	executed history signal function trap traps
vocab	0.214	zshmisc:ALIASING	zshbuiltins:SHELL BUILTIN COMMANDS	alias aliases defined module table hash
vocab	0.214	zshexpn:HISTORY EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	history character path expansion prompt you
vocab	0.211	zshmisc:REDIRECTION	zshoptions:DESCRIPTION OF OPTIONS	file word output standard input clobber
vocab	0.21	zshparam:DESCRIPTION	zshparam:ARRAY PARAMETERS	array value associative scalar name assignment
vocab	0.207	zshmisc:JOBS	zshbuiltins:SHELL BUILTIN COMMANDS	job jobs table state features was
vocab	0.207	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:FILENAME GENERATION	file match pattern test string matched
vocab	0.206	zshmisc:SIMPLE PROMPT ESCAPES	zshbuiltins:SHELL BUILTIN COMMANDS	format file directory given current number
vocab	0.204	zshmisc:ALIASING	zshexpn:DESCRIPTION	alias expansion aliases aliasing commonly expanded
vocab	0.203	zshmisc:PRECOMMAND MODIFIERS	zshbuiltins:SHELL BUILTIN COMMANDS	flag name whence path precommand options
vocab	0.203	zshexpn:PARAMETER EXPANSION	zshexpn:COMMAND SUBSTITUTION	foo substitution ifs quotes words expansions
vocab	0.196	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshparam:PARAMETERS USED BY THE SHELL	prompt sequences character escape history expansion
vocab	0.195	zshmisc:REDIRECTION	zshexpn:PROCESS SUBSTITUTION	file descriptor input output list word
vocab	0.195	zshmisc:FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	functions function alias read listed exit
vocab	0.195	zshparam:DESCRIPTION	zshparam:LOCAL PARAMETERS	parameters attribute parameter attributes exported value
vocab	0.194	zshmisc:ARITHMETIC EVALUATION	zshoptions:DESCRIPTION OF OPTIONS	base output character point this it
vocab	0.193	zshmisc:COMMAND EXECUTION	zshoptions:DESCRIPTION OF OPTIONS	file function directory script format path
vocab	0.193	zshmisc:AUTOLOADING FUNCTIONS	zshmisc:ANONYMOUS FUNCTIONS	function definition functions definitions local discarded
vocab	0.192	zshmisc:COMPLEX COMMANDS	zshparam:PARAMETERS USED BY THE SHELL	list term pattern editor value statistics
vocab	0.192	zshmisc:SPECIAL FUNCTIONS	zshparam:PARAMETERS USED BY THE SHELL	history trap array prompt hook line
vocab	0.192	zshmisc:SIMPLE PROMPT ESCAPES	zshparam:PARAMETERS SET BY THE SHELL	number system id code user tty
vocab	0.191	zshparam:LOCAL PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS	local path new directory scope parameter
vocab	0.188	zshmisc:ARITHMETIC EVALUATION	zshbuiltins:SHELL BUILTIN COMMANDS	zmodload output format name value functions
vocab	0.186	zshmisc:PRECOMMAND MODIFIERS	zshoptions:DESCRIPTION OF OPTIONS	path effect rather spelling function it
vocab	0.186	zshmisc:SPECIAL FUNCTIONS	zshexpn:HISTORY EXPANSION	history line immediately modifier function same
vocab	0.185	zshexpn:PROCESS SUBSTITUTION	zshbuiltins:SHELL BUILTIN COMMANDS	arg file argument list job process
vocab	0.185	zshexpn:PARAMETER EXPANSION	zshexpn:BRACE EXPANSION	foo character characters array words spec
vocab	0.185	zshexpn:FILENAME EXPANSION	zshexpn:FILENAME GENERATION	match directory reply directories path matched
vocab	0.184	zshmisc:REDIRECTION	zshmisc:CONDITIONAL EXPRESSIONS	file exists descriptor word if open
vocab	0.181	zshparam:DESCRIPTION	zshoptions:DESCRIPTION OF OPTIONS	array value name scalar parameter type
vocab	0.18	zshmisc:MULTIOS	zshoptions:DESCRIPTION OF OPTIONS	file foo output files unset redirection
vocab	0.18	zshmisc:ARITHMETIC EVALUATION	zshparam:DESCRIPTION	floating type value integer arithmetic scalar
vocab	0.179	zshmisc:PRECOMMAND MODIFIERS	zshexpn:PARAMETER EXPANSION	flag word name words string replacement
vocab	0.179	zshmisc:SIMPLE PROMPT ESCAPES	zshparam:PARAMETERS USED BY THE SHELL	format number character prompt system characters
vocab	0.179	zshparam:ARRAY PARAMETERS	zshparam:PARAMETERS USED BY THE SHELL	array value pattern character this key
vocab	0.179	zshparam:LOCAL PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS	local parameters typeset path name new
vocab	0.178	zshmisc:COMMAND EXECUTION	zshbuiltins:SHELL BUILTIN COMMANDS	file format name function status printed
vocab	0.177	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:SPECIAL FUNCTIONS	executed status sublist signal list terminated
vocab	0.175	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS	file true pattern if match warning
vocab	0.174	zshexpn:FILENAME EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	directory reply stack array path should
vocab	0.174	zshparam:DESCRIPTION	zshparam:PARAMETERS SET BY THE SHELL	value type array assigning parameters environment
vocab	0.173	zshmisc:COMPLEX COMMANDS	zshexpn:FILENAME GENERATION	list pattern parentheses match errors word
vocab	0.173	zshmisc:REDIRECTION	zshexpn:PARAMETER EXPANSION	word substitution output quotes then file
vocab	0.173	zshmisc:AUTOLOADING FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS	function file functions definition directory element
vocab	0.173	zshmisc:SIMPLE PROMPT ESCAPES	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	truncation day negative specifies current prompt
vocab	0.173	zshexpn:PARAMETER EXPANSION	zshexpn:FILENAME EXPANSION	name array match word then directory
vocab	0.172	zshmisc:FUNCTIONS	zshmisc:AUTOLOADING FUNCTIONS	function functions calls undefined executed funcname
vocab	0.171	zshmisc:COMPLEX COMMANDS	zshexpn:PARAMETER EXPANSION	word words pattern name list then
vocab	0.171	zshmisc:ANONYMOUS FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS	function local functions definitions brace this
vocab	0.171	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshexpn:PARAMETER EXPANSION	array elements string true length character
vocab	0.171	zshparam:DESCRIPTION	zshparam:PARAMETERS USED BY THE SHELL	value array environment parameter variable type
vocab	0.17	zshmisc:ANONYMOUS FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	function arguments functions name local definition
vocab	0.168	zshexpn:PROCESS SUBSTITUTION	zshoptions:DESCRIPTION OF OPTIONS	file list completion this job cut
vocab	0.166	zshmisc:COMPLEX COMMANDS	zshmisc:REDIRECTION	word list then error standard input
vocab	0.166	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:PROCESS SUBSTITUTION	file file2 file1 fd process dev
vocab	0.166	zshparam:POSITIONAL PARAMETERS	zshparam:PARAMETERS SET BY THE SHELL	argv positional array parameters assigning script
vocab	0.165	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:HISTORY EXPANSION	expansion history event character prompt complicated
vocab	0.165	zshparam:ARRAY PARAMETERS	zshparam:POSITIONAL PARAMETERS	array values arrays positional value ksh_arrays
vocab	0.164	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshoptions:DESCRIPTION OF OPTIONS	prompt true character directory array if
vocab	0.164	zshexpn:DESCRIPTION	zshoptions:DESCRIPTION OF OPTIONS	expansion history alias filename performed ksh
vocab	0.163	zshmisc:ERRORS	zshoptions:DESCRIPTION OF OPTIONS	errors interactive file options behaviour script
vocab	0.163	zshmisc:QUOTING	zshexpn:PARAMETER EXPANSION	quotes character string quoted resulting characters
vocab	0.163	zshexpn:DESCRIPTION	zshexpn:HISTORY EXPANSION	expansion expansions history filename immediately substitution
vocab	0.162	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:PARAMETERS USED BY THE SHELL	prompt psvar character array text space
vocab	0.161	zshparam:POSITIONAL PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS	parameters options array positional values section
vocab	0.16	zshmisc:REDIRECTION	zshexpn:HISTORY EXPANSION	word file input expansion filename substitution
